areaCode,areaName,areaType,date,cumPeopleVaccinatedCompleteByVaccinationDate
E08000001,Bolton,utla,2021-09-22,180869
E08000016,Barnsley,utla,2021-09-22,164096
E08000031,Wolverhampton,utla,2021-09-22,155502
E08000032,Bradford,utla,2021-09-22,308466
E09000018,Hounslow,utla,2021-09-22,174514
E09000032,Wandsworth,utla,2021-09-22,218006
E09000033,Westminster,utla,2021-09-22,134847
E10000034,Worcestershire,utla,2021-09-22,424445
S12000013,Na h-Eileanan Siar,utla,2021-09-22,19606
S12000029,South Lanarkshire,utla,2021-09-22,234409
S12000045,East Dunbartonshire,utla,2021-09-22,82516
E06000003,Redcar and Cleveland,utla,2021-09-21,93426
E06000014,York,utla,2021-09-21,140978
E06000050,Cheshire West and Chester,utla,2021-09-21,247876
E08000001,Bolton,utla,2021-09-21,180611
E08000016,Barnsley,utla,2021-09-21,164045
E08000031,Wolverhampton,utla,2021-09-21,155326
E08000032,Bradford,utla,2021-09-21,308096
E09000018,Hounslow,utla,2021-09-21,174271
E09000032,Wandsworth,utla,2021-09-21,217747
E09000033,Westminster,utla,2021-09-21,134613
E10000034,Worcestershire,utla,2021-09-21,424189
S12000013,Na h-Eileanan Siar,utla,2021-09-21,19605
S12000029,South Lanarkshire,utla,2021-09-21,234327
S12000045,East Dunbartonshire,utla,2021-09-21,82487
E06000003,Redcar and Cleveland,utla,2021-09-20,93325
E06000014,York,utla,2021-09-20,140896
E06000050,Cheshire West and Chester,utla,2021-09-20,247768
E08000001,Bolton,utla,2021-09-20,180540
E08000016,Barnsley,utla,2021-09-20,163973
E08000031,Wolverhampton,utla,2021-09-20,155203
E08000032,Bradford,utla,2021-09-20,307599
E09000018,Hounslow,utla,2021-09-20,174035
E09000032,Wandsworth,utla,2021-09-20,217418
E09000033,Westminster,utla,2021-09-20,134445
E10000034,Worcestershire,utla,2021-09-20,423888
S12000013,Na h-Eileanan Siar,utla,2021-09-20,19605
S12000029,South Lanarkshire,utla,2021-09-20,234266
S12000045,East Dunbartonshire,utla,2021-09-20,82474
E06000003,Redcar and Cleveland,utla,2021-09-19,93240
E06000014,York,utla,2021-09-19,140763
E06000050,Cheshire West and Chester,utla,2021-09-19,247545
E08000001,Bolton,utla,2021-09-19,180445
E08000016,Barnsley,utla,2021-09-19,163900
E08000031,Wolverhampton,utla,2021-09-19,155069
E08000032,Bradford,utla,2021-09-19,307198
E09000018,Hounslow,utla,2021-09-19,173693
E09000032,Wandsworth,utla,2021-09-19,217084
E09000033,Westminster,utla,2021-09-19,134198
E10000034,Worcestershire,utla,2021-09-19,423478
S12000013,Na h-Eileanan Siar,utla,2021-09-19,19605
S12000029,South Lanarkshire,utla,2021-09-19,234184
S12000045,East Dunbartonshire,utla,2021-09-19,82453
E06000003,Redcar and Cleveland,utla,2021-09-18,93101
E06000014,York,utla,2021-09-18,140583
E06000050,Cheshire West and Chester,utla,2021-09-18,247447
E08000001,Bolton,utla,2021-09-18,180323
E08000016,Barnsley,utla,2021-09-18,163748
E08000031,Wolverhampton,utla,2021-09-18,154986
E08000032,Bradford,utla,2021-09-18,306965
E09000018,Hounslow,utla,2021-09-18,173557
E09000032,Wandsworth,utla,2021-09-18,216959
E09000033,Westminster,utla,2021-09-18,134116
E10000034,Worcestershire,utla,2021-09-18,423367
S12000013,Na h-Eileanan Siar,utla,2021-09-18,19605
S12000029,South Lanarkshire,utla,2021-09-18,234074
S12000045,East Dunbartonshire,utla,2021-09-18,82382
E06000003,Redcar and Cleveland,utla,2021-09-17,93006
E06000014,York,utla,2021-09-17,140377
E06000050,Cheshire West and Chester,utla,2021-09-17,246950
E08000001,Bolton,utla,2021-09-17,180010
E08000016,Barnsley,utla,2021-09-17,163579
E08000031,Wolverhampton,utla,2021-09-17,154771
E08000032,Bradford,utla,2021-09-17,306289
E09000018,Hounslow,utla,2021-09-17,173159
E09000032,Wandsworth,utla,2021-09-17,216599
E09000033,Westminster,utla,2021-09-17,133914
E10000034,Worcestershire,utla,2021-09-17,422898
S12000013,Na h-Eileanan Siar,utla,2021-09-17,19599
S12000029,South Lanarkshire,utla,2021-09-17,233634
S12000045,East Dunbartonshire,utla,2021-09-17,82344
E06000003,Redcar and Cleveland,utla,2021-09-16,92804
E06000014,York,utla,2021-09-16,139912
E06000050,Cheshire West and Chester,utla,2021-09-16,246488
E08000001,Bolton,utla,2021-09-16,179723
E08000016,Barnsley,utla,2021-09-16,163546
E08000031,Wolverhampton,utla,2021-09-16,154620
E08000032,Bradford,utla,2021-09-16,305970
E09000018,Hounslow,utla,2021-09-16,172829
E09000032,Wandsworth,utla,2021-09-16,216224
E09000033,Westminster,utla,2021-09-16,133543
E10000034,Worcestershire,utla,2021-09-16,422333
S12000013,Na h-Eileanan Siar,utla,2021-09-16,19573
S12000029,South Lanarkshire,utla,2021-09-16,233516
S12000045,East Dunbartonshire,utla,2021-09-16,82287
E06000003,Redcar and Cleveland,utla,2021-09-15,92551
E06000014,York,utla,2021-09-15,139676
E06000050,Cheshire West and Chester,utla,2021-09-15,246265
E08000001,Bolton,utla,2021-09-15,179472
E08000016,Barnsley,utla,2021-09-15,163205
E08000031,Wolverhampton,utla,2021-09-15,154369
E08000032,Bradford,utla,2021-09-15,305685
E09000018,Hounslow,utla,2021-09-15,172513
E09000032,Wandsworth,utla,2021-09-15,215853
E09000033,Westminster,utla,2021-09-15,133323
E10000034,Worcestershire,utla,2021-09-15,421793
S12000013,Na h-Eileanan Siar,utla,2021-09-15,19573
S12000029,South Lanarkshire,utla,2021-09-15,233419
S12000045,East Dunbartonshire,utla,2021-09-15,82181
E06000003,Redcar and Cleveland,utla,2021-09-14,92199
E06000014,York,utla,2021-09-14,139508
E06000050,Cheshire West and Chester,utla,2021-09-14,245879
E08000001,Bolton,utla,2021-09-14,179224
E08000016,Barnsley,utla,2021-09-14,162744
E08000031,Wolverhampton,utla,2021-09-14,154138
E08000032,Bradford,utla,2021-09-14,305379
E09000018,Hounslow,utla,2021-09-14,172211
E09000032,Wandsworth,utla,2021-09-14,215479
E09000033,Westminster,utla,2021-09-14,133151
E10000034,Worcestershire,utla,2021-09-14,421329
S12000013,Na h-Eileanan Siar,utla,2021-09-14,19568
S12000029,South Lanarkshire,utla,2021-09-14,233279
S12000045,East Dunbartonshire,utla,2021-09-14,82171
E06000003,Redcar and Cleveland,utla,2021-09-13,92097
E06000014,York,utla,2021-09-13,139172
E06000050,Cheshire West and Chester,utla,2021-09-13,245145
E08000001,Bolton,utla,2021-09-13,179165
E08000016,Barnsley,utla,2021-09-13,162706
E08000031,Wolverhampton,utla,2021-09-13,153916
E08000032,Bradford,utla,2021-09-13,304986
E09000018,Hounslow,utla,2021-09-13,171905
E09000032,Wandsworth,utla,2021-09-13,215135
E09000033,Westminster,utla,2021-09-13,132991
E10000034,Worcestershire,utla,2021-09-13,420811
S12000013,Na h-Eileanan Siar,utla,2021-09-13,19568
S12000029,South Lanarkshire,utla,2021-09-13,233140
S12000045,East Dunbartonshire,utla,2021-09-13,82135
E06000003,Redcar and Cleveland,utla,2021-09-12,92014
E06000014,York,utla,2021-09-12,139036
E06000050,Cheshire West and Chester,utla,2021-09-12,244632
E08000001,Bolton,utla,2021-09-12,179019
E08000016,Barnsley,utla,2021-09-12,162688
E08000031,Wolverhampton,utla,2021-09-12,153730
E08000032,Bradford,utla,2021-09-12,304530
E09000018,Hounslow,utla,2021-09-12,171538
E09000032,Wandsworth,utla,2021-09-12,214698
E09000033,Westminster,utla,2021-09-12,132739
E10000034,Worcestershire,utla,2021-09-12,420112
S12000013,Na h-Eileanan Siar,utla,2021-09-12,19568
S12000029,South Lanarkshire,utla,2021-09-12,233035
S12000045,East Dunbartonshire,utla,2021-09-12,82112
E06000003,Redcar and Cleveland,utla,2021-09-11,91885
E06000014,York,utla,2021-09-11,138676
E06000050,Cheshire West and Chester,utla,2021-09-11,244404
E08000001,Bolton,utla,2021-09-11,178897
E08000016,Barnsley,utla,2021-09-11,162585
E08000031,Wolverhampton,utla,2021-09-11,153334
E08000032,Bradford,utla,2021-09-11,304352
E09000018,Hounslow,utla,2021-09-11,171340
E09000032,Wandsworth,utla,2021-09-11,214477
E09000033,Westminster,utla,2021-09-11,132657
E10000034,Worcestershire,utla,2021-09-11,419990
S12000013,Na h-Eileanan Siar,utla,2021-09-11,19568
S12000029,South Lanarkshire,utla,2021-09-11,232905
S12000045,East Dunbartonshire,utla,2021-09-11,81965
E06000003,Redcar and Cleveland,utla,2021-09-10,91733
E06000014,York,utla,2021-09-10,138070
E06000050,Cheshire West and Chester,utla,2021-09-10,243661
E08000001,Bolton,utla,2021-09-10,178498
E08000016,Barnsley,utla,2021-09-10,162527
E08000031,Wolverhampton,utla,2021-09-10,152736
E08000032,Bradford,utla,2021-09-10,303562
E09000018,Hounslow,utla,2021-09-10,170798
E09000032,Wandsworth,utla,2021-09-10,214081
E09000033,Westminster,utla,2021-09-10,132426
E10000034,Worcestershire,utla,2021-09-10,419325
S12000013,Na h-Eileanan Siar,utla,2021-09-10,19556
S12000029,South Lanarkshire,utla,2021-09-10,232748
S12000045,East Dunbartonshire,utla,2021-09-10,81826
E06000003,Redcar and Cleveland,utla,2021-09-09,91588
E06000014,York,utla,2021-09-09,137767
E06000050,Cheshire West and Chester,utla,2021-09-09,242773
E08000001,Bolton,utla,2021-09-09,178287
E08000016,Barnsley,utla,2021-09-09,162445
E08000031,Wolverhampton,utla,2021-09-09,152550
E08000032,Bradford,utla,2021-09-09,303125
E09000018,Hounslow,utla,2021-09-09,170369
E09000032,Wandsworth,utla,2021-09-09,213578
E09000033,Westminster,utla,2021-09-09,132048
E10000034,Worcestershire,utla,2021-09-09,418542
S12000013,Na h-Eileanan Siar,utla,2021-09-09,19556
S12000029,South Lanarkshire,utla,2021-09-09,232570
S12000045,East Dunbartonshire,utla,2021-09-09,81598
E06000003,Redcar and Cleveland,utla,2021-09-08,91453
E06000014,York,utla,2021-09-08,137452
E06000050,Cheshire West and Chester,utla,2021-09-08,242021
E08000001,Bolton,utla,2021-09-08,177993
E08000016,Barnsley,utla,2021-09-08,161902
E08000031,Wolverhampton,utla,2021-09-08,152241
E08000032,Bradford,utla,2021-09-08,302626
E09000018,Hounslow,utla,2021-09-08,169943
E09000032,Wandsworth,utla,2021-09-08,213141
E09000033,Westminster,utla,2021-09-08,131740
E10000034,Worcestershire,utla,2021-09-08,417673
S12000013,Na h-Eileanan Siar,utla,2021-09-08,19556
S12000029,South Lanarkshire,utla,2021-09-08,232405
S12000045,East Dunbartonshire,utla,2021-09-08,81571
E06000003,Redcar and Cleveland,utla,2021-09-07,91316
E06000014,York,utla,2021-09-07,137202
E06000050,Cheshire West and Chester,utla,2021-09-07,241435
E08000001,Bolton,utla,2021-09-07,177775
E08000016,Barnsley,utla,2021-09-07,161370
E08000031,Wolverhampton,utla,2021-09-07,151939
E08000032,Bradford,utla,2021-09-07,302206
E09000018,Hounslow,utla,2021-09-07,169529
E09000032,Wandsworth,utla,2021-09-07,212658
E09000033,Westminster,utla,2021-09-07,131442
E10000034,Worcestershire,utla,2021-09-07,416587
S12000013,Na h-Eileanan Siar,utla,2021-09-07,19531
S12000029,South Lanarkshire,utla,2021-09-07,232219
S12000045,East Dunbartonshire,utla,2021-09-07,81484
E06000003,Redcar and Cleveland,utla,2021-09-06,91125
E06000014,York,utla,2021-09-06,136918
E06000050,Cheshire West and Chester,utla,2021-09-06,241048
E08000001,Bolton,utla,2021-09-06,177687
E08000016,Barnsley,utla,2021-09-06,161346
E08000031,Wolverhampton,utla,2021-09-06,151647
E08000032,Bradford,utla,2021-09-06,301683
E09000018,Hounslow,utla,2021-09-06,169118
E09000032,Wandsworth,utla,2021-09-06,212095
E09000033,Westminster,utla,2021-09-06,131141
E10000034,Worcestershire,utla,2021-09-06,415923
S12000013,Na h-Eileanan Siar,utla,2021-09-06,19531
S12000029,South Lanarkshire,utla,2021-09-06,231991
S12000045,East Dunbartonshire,utla,2021-09-06,81334
E06000003,Redcar and Cleveland,utla,2021-09-05,90966
E06000014,York,utla,2021-09-05,136578
E06000050,Cheshire West and Chester,utla,2021-09-05,240627
E08000001,Bolton,utla,2021-09-05,177389
E08000016,Barnsley,utla,2021-09-05,161309
E08000031,Wolverhampton,utla,2021-09-05,151425
E08000032,Bradford,utla,2021-09-05,300895
E09000018,Hounslow,utla,2021-09-05,168551
E09000032,Wandsworth,utla,2021-09-05,211490
E09000033,Westminster,utla,2021-09-05,130794
E10000034,Worcestershire,utla,2021-09-05,415036
S12000013,Na h-Eileanan Siar,utla,2021-09-05,19531
S12000029,South Lanarkshire,utla,2021-09-05,231717
S12000045,East Dunbartonshire,utla,2021-09-05,81317
E06000003,Redcar and Cleveland,utla,2021-09-04,90885
E06000014,York,utla,2021-09-04,135856
E06000050,Cheshire West and Chester,utla,2021-09-04,240248
E08000001,Bolton,utla,2021-09-04,177262
E08000016,Barnsley,utla,2021-09-04,160882
E08000031,Wolverhampton,utla,2021-09-04,151220
E08000032,Bradford,utla,2021-09-04,300486
E09000018,Hounslow,utla,2021-09-04,168302
E09000032,Wandsworth,utla,2021-09-04,211037
E09000033,Westminster,utla,2021-09-04,130566
E10000034,Worcestershire,utla,2021-09-04,414880
S12000013,Na h-Eileanan Siar,utla,2021-09-04,19525
S12000029,South Lanarkshire,utla,2021-09-04,231238
S12000045,East Dunbartonshire,utla,2021-09-04,80977
E06000003,Redcar and Cleveland,utla,2021-09-03,90679
E06000014,York,utla,2021-09-03,135171
E06000050,Cheshire West and Chester,utla,2021-09-03,239268
E08000001,Bolton,utla,2021-09-03,176872
E08000016,Barnsley,utla,2021-09-03,160608
E08000031,Wolverhampton,utla,2021-09-03,150905
E08000032,Bradford,utla,2021-09-03,299298
E09000018,Hounslow,utla,2021-09-03,167630
E09000032,Wandsworth,utla,2021-09-03,210276
E09000033,Westminster,utla,2021-09-03,130170
E10000034,Worcestershire,utla,2021-09-03,413701
S12000013,Na h-Eileanan Siar,utla,2021-09-03,19514
S12000029,South Lanarkshire,utla,2021-09-03,230516
S12000045,East Dunbartonshire,utla,2021-09-03,80706
E06000003,Redcar and Cleveland,utla,2021-09-02,90394
E06000014,York,utla,2021-09-02,134704
E06000050,Cheshire West and Chester,utla,2021-09-02,238374
E08000001,Bolton,utla,2021-09-02,176660
E08000016,Barnsley,utla,2021-09-02,160234
E08000031,Wolverhampton,utla,2021-09-02,150484
E08000032,Bradford,utla,2021-09-02,298723
E09000018,Hounslow,utla,2021-09-02,167096
E09000032,Wandsworth,utla,2021-09-02,209619
E09000033,Westminster,utla,2021-09-02,129652
E10000034,Worcestershire,utla,2021-09-02,412699
S12000013,Na h-Eileanan Siar,utla,2021-09-02,19487
S12000029,South Lanarkshire,utla,2021-09-02,230345
S12000045,East Dunbartonshire,utla,2021-09-02,80267
E06000003,Redcar and Cleveland,utla,2021-09-01,89976
E06000014,York,utla,2021-09-01,134212
E06000050,Cheshire West and Chester,utla,2021-09-01,237601
E08000001,Bolton,utla,2021-09-01,176518
E08000016,Barnsley,utla,2021-09-01,159748
E08000031,Wolverhampton,utla,2021-09-01,149961
E08000032,Bradford,utla,2021-09-01,297843
E09000018,Hounslow,utla,2021-09-01,166563
E09000032,Wandsworth,utla,2021-09-01,208958
E09000033,Westminster,utla,2021-09-01,129342
E10000034,Worcestershire,utla,2021-09-01,411499
S12000013,Na h-Eileanan Siar,utla,2021-09-01,19487
S12000029,South Lanarkshire,utla,2021-09-01,230297
S12000045,East Dunbartonshire,utla,2021-09-01,79852
E06000003,Redcar and Cleveland,utla,2021-08-31,89368
E06000014,York,utla,2021-08-31,133529
E06000050,Cheshire West and Chester,utla,2021-08-31,237227
E08000001,Bolton,utla,2021-08-31,176209
E08000016,Barnsley,utla,2021-08-31,159255
E08000031,Wolverhampton,utla,2021-08-31,149432
E08000032,Bradford,utla,2021-08-31,296702
E09000018,Hounslow,utla,2021-08-31,166101
E09000032,Wandsworth,utla,2021-08-31,208201
E09000033,Westminster,utla,2021-08-31,128993
E10000034,Worcestershire,utla,2021-08-31,410139
S12000013,Na h-Eileanan Siar,utla,2021-08-31,19486
S12000029,South Lanarkshire,utla,2021-08-31,230260
S12000045,East Dunbartonshire,utla,2021-08-31,79768
E06000003,Redcar and Cleveland,utla,2021-08-30,89072
E06000014,York,utla,2021-08-30,132869
E06000050,Cheshire West and Chester,utla,2021-08-30,236390
E08000001,Bolton,utla,2021-08-30,175904
E08000016,Barnsley,utla,2021-08-30,159209
E08000031,Wolverhampton,utla,2021-08-30,148971
E08000032,Bradford,utla,2021-08-30,295745
E09000018,Hounslow,utla,2021-08-30,165513
E09000032,Wandsworth,utla,2021-08-30,207361
E09000033,Westminster,utla,2021-08-30,128631
E10000034,Worcestershire,utla,2021-08-30,408957
S12000013,Na h-Eileanan Siar,utla,2021-08-30,19486
S12000029,South Lanarkshire,utla,2021-08-30,230197
S12000045,East Dunbartonshire,utla,2021-08-30,79507
E06000003,Redcar and Cleveland,utla,2021-08-29,88880
E06000014,York,utla,2021-08-29,132403
E06000050,Cheshire West and Chester,utla,2021-08-29,236101
E08000001,Bolton,utla,2021-08-29,175764
E08000016,Barnsley,utla,2021-08-29,159186
E08000031,Wolverhampton,utla,2021-08-29,148763
E08000032,Bradford,utla,2021-08-29,295411
E09000018,Hounslow,utla,2021-08-29,164984
E09000032,Wandsworth,utla,2021-08-29,206818
E09000033,Westminster,utla,2021-08-29,128363
E10000034,Worcestershire,utla,2021-08-29,408900
S12000013,Na h-Eileanan Siar,utla,2021-08-29,19486
S12000029,South Lanarkshire,utla,2021-08-29,230152
S12000045,East Dunbartonshire,utla,2021-08-29,79026
E06000003,Redcar and Cleveland,utla,2021-08-28,88710
E06000014,York,utla,2021-08-28,132024
E06000050,Cheshire West and Chester,utla,2021-08-28,235703
E08000001,Bolton,utla,2021-08-28,175587
E08000016,Barnsley,utla,2021-08-28,159093
E08000031,Wolverhampton,utla,2021-08-28,148504
E08000032,Bradford,utla,2021-08-28,294904
E09000018,Hounslow,utla,2021-08-28,164700
E09000032,Wandsworth,utla,2021-08-28,206444
E09000033,Westminster,utla,2021-08-28,128086
E10000034,Worcestershire,utla,2021-08-28,408819
S12000013,Na h-Eileanan Siar,utla,2021-08-28,19486
S12000029,South Lanarkshire,utla,2021-08-28,229656
S12000045,East Dunbartonshire,utla,2021-08-28,78982
E06000003,Redcar and Cleveland,utla,2021-08-27,88650
E06000014,York,utla,2021-08-27,131378
E06000050,Cheshire West and Chester,utla,2021-08-27,234030
E08000001,Bolton,utla,2021-08-27,175148
E08000016,Barnsley,utla,2021-08-27,158872
E08000031,Wolverhampton,utla,2021-08-27,147826
E08000032,Bradford,utla,2021-08-27,294007
E09000018,Hounslow,utla,2021-08-27,163932
E09000032,Wandsworth,utla,2021-08-27,205762
E09000033,Westminster,utla,2021-08-27,127671
E10000034,Worcestershire,utla,2021-08-27,407707
S12000013,Na h-Eileanan Siar,utla,2021-08-27,19476
S12000029,South Lanarkshire,utla,2021-08-27,228977
S12000045,East Dunbartonshire,utla,2021-08-27,78564
E06000003,Redcar and Cleveland,utla,2021-08-26,88458
E06000014,York,utla,2021-08-26,130474
E06000050,Cheshire West and Chester,utla,2021-08-26,233658
E08000001,Bolton,utla,2021-08-26,174926
