areaCode,areaName,areaType,date,newCasesBySpecimenDate
E06000023,"Bristol, City of",ltla,2020-10-30,303
E06000023,"Bristol, City of",ltla,2020-10-29,281
E06000023,"Bristol, City of",ltla,2020-10-28,351
E06000023,"Bristol, City of",ltla,2020-10-27,321
E06000023,"Bristol, City of",ltla,2020-10-26,301
E06000023,"Bristol, City of",ltla,2020-10-25,220
E06000023,"Bristol, City of",ltla,2020-10-24,240
E06000023,"Bristol, City of",ltla,2020-10-23,302
E06000023,"Bristol, City of",ltla,2020-10-22,349
E06000023,"Bristol, City of",ltla,2020-10-21,348
E06000023,"Bristol, City of",ltla,2020-10-20,265
E06000023,"Bristol, City of",ltla,2020-10-19,250
E06000023,"Bristol, City of",ltla,2020-10-18,160
E06000023,"Bristol, City of",ltla,2020-10-17,178
E06000023,"Bristol, City of",ltla,2020-10-16,192
E06000023,"Bristol, City of",ltla,2020-10-15,188
E06000023,"Bristol, City of",ltla,2020-10-14,203
E06000023,"Bristol, City of",ltla,2020-10-13,293
E06000023,"Bristol, City of",ltla,2020-10-12,180
E06000023,"Bristol, City of",ltla,2020-10-11,134
E06000023,"Bristol, City of",ltla,2020-10-10,168
E06000023,"Bristol, City of",ltla,2020-10-09,238
E06000023,"Bristol, City of",ltla,2020-10-08,193
E06000023,"Bristol, City of",ltla,2020-10-07,202
E06000023,"Bristol, City of",ltla,2020-10-06,132
E06000023,"Bristol, City of",ltla,2020-10-05,100
E06000023,"Bristol, City of",ltla,2020-10-04,73
E06000023,"Bristol, City of",ltla,2020-10-03,88
E06000023,"Bristol, City of",ltla,2020-10-02,64
E06000023,"Bristol, City of",ltla,2020-10-01,52
E06000023,"Bristol, City of",ltla,2020-09-30,34
E06000023,"Bristol, City of",ltla,2020-09-29,22
E06000023,"Bristol, City of",ltla,2020-09-28,40
E06000023,"Bristol, City of",ltla,2020-09-27,14
E06000023,"Bristol, City of",ltla,2020-09-26,20
E06000023,"Bristol, City of",ltla,2020-09-25,18
E06000023,"Bristol, City of",ltla,2020-09-24,17
E06000023,"Bristol, City of",ltla,2020-09-23,21
E06000023,"Bristol, City of",ltla,2020-09-22,12
E06000023,"Bristol, City of",ltla,2020-09-21,12
E06000023,"Bristol, City of",ltla,2020-09-20,20
E06000023,"Bristol, City of",ltla,2020-09-19,11
E06000023,"Bristol, City of",ltla,2020-09-18,12
E06000023,"Bristol, City of",ltla,2020-09-17,12
E06000023,"Bristol, City of",ltla,2020-09-16,7
E06000023,"Bristol, City of",ltla,2020-09-15,8
E06000023,"Bristol, City of",ltla,2020-09-14,9
E06000023,"Bristol, City of",ltla,2020-09-13,4
E06000023,"Bristol, City of",ltla,2020-09-12,1
E06000023,"Bristol, City of",ltla,2020-09-11,5
E06000023,"Bristol, City of",ltla,2020-09-10,9
E06000023,"Bristol, City of",ltla,2020-09-09,9
E06000023,"Bristol, City of",ltla,2020-09-08,8
E06000023,"Bristol, City of",ltla,2020-09-07,17
E06000023,"Bristol, City of",ltla,2020-09-06,11
E06000023,"Bristol, City of",ltla,2020-09-05,5
E06000023,"Bristol, City of",ltla,2020-09-04,17
E06000023,"Bristol, City of",ltla,2020-09-03,13
E06000023,"Bristol, City of",ltla,2020-09-02,18
E06000023,"Bristol, City of",ltla,2020-09-01,13
E06000023,"Bristol, City of",ltla,2020-08-31,10
E06000023,"Bristol, City of",ltla,2020-08-30,6
E06000023,"Bristol, City of",ltla,2020-08-29,6
E06000023,"Bristol, City of",ltla,2020-08-28,10
E06000023,"Bristol, City of",ltla,2020-08-27,2
E06000023,"Bristol, City of",ltla,2020-08-26,6
E06000023,"Bristol, City of",ltla,2020-08-25,10
E06000023,"Bristol, City of",ltla,2020-08-24,7
E06000023,"Bristol, City of",ltla,2020-08-23,5
E06000023,"Bristol, City of",ltla,2020-08-22,8
E06000023,"Bristol, City of",ltla,2020-08-21,7
E06000023,"Bristol, City of",ltla,2020-08-20,11
E06000023,"Bristol, City of",ltla,2020-08-19,6
E06000023,"Bristol, City of",ltla,2020-08-18,8
E06000023,"Bristol, City of",ltla,2020-08-17,11
E06000023,"Bristol, City of",ltla,2020-08-16,1
E06000023,"Bristol, City of",ltla,2020-08-15,4
E06000023,"Bristol, City of",ltla,2020-08-14,9
E06000023,"Bristol, City of",ltla,2020-08-13,6
E06000023,"Bristol, City of",ltla,2020-08-12,7
E06000023,"Bristol, City of",ltla,2020-08-11,9
E06000023,"Bristol, City of",ltla,2020-08-10,4
E06000023,"Bristol, City of",ltla,2020-08-09,1
E06000023,"Bristol, City of",ltla,2020-08-08,4
E06000023,"Bristol, City of",ltla,2020-08-07,6
E06000023,"Bristol, City of",ltla,2020-08-06,3
E06000023,"Bristol, City of",ltla,2020-08-05,3
E06000023,"Bristol, City of",ltla,2020-08-04,0
E06000023,"Bristol, City of",ltla,2020-08-03,3
E06000023,"Bristol, City of",ltla,2020-08-02,0
E06000023,"Bristol, City of",ltla,2020-08-01,1
E06000023,"Bristol, City of",ltla,2020-07-31,0
E06000023,"Bristol, City of",ltla,2020-07-30,2
E06000023,"Bristol, City of",ltla,2020-07-29,5
E06000023,"Bristol, City of",ltla,2020-07-28,5
E06000023,"Bristol, City of",ltla,2020-07-27,3
E06000023,"Bristol, City of",ltla,2020-07-26,4
E06000023,"Bristol, City of",ltla,2020-07-25,2
E06000023,"Bristol, City of",ltla,2020-07-24,5
E06000023,"Bristol, City of",ltla,2020-07-23,3
E06000023,"Bristol, City of",ltla,2020-07-22,5
E06000023,"Bristol, City of",ltla,2020-07-21,3
E06000023,"Bristol, City of",ltla,2020-07-20,3
E06000023,"Bristol, City of",ltla,2020-07-19,1
E06000023,"Bristol, City of",ltla,2020-07-18,1
E06000023,"Bristol, City of",ltla,2020-07-17,3
E06000023,"Bristol, City of",ltla,2020-07-16,2
E06000023,"Bristol, City of",ltla,2020-07-15,2
E06000023,"Bristol, City of",ltla,2020-07-14,1
E06000023,"Bristol, City of",ltla,2020-07-13,2
E06000023,"Bristol, City of",ltla,2020-07-12,1
E06000023,"Bristol, City of",ltla,2020-07-11,0
E06000023,"Bristol, City of",ltla,2020-07-10,1
E06000023,"Bristol, City of",ltla,2020-07-09,1
E06000023,"Bristol, City of",ltla,2020-07-08,2
E06000023,"Bristol, City of",ltla,2020-07-07,1
E06000023,"Bristol, City of",ltla,2020-07-06,3
