time,open,high,low,close,volume
2021-10-25 11:45:00,127.64,127.94,127.52,127.9,142771
2021-10-25 11:30:00,127.8948,127.91,127.49,127.65,200682
2021-10-25 11:15:00,127.69,128.08,127.69,127.895,168605
2021-10-25 11:00:00,128.129,128.21,127.7,127.71,178403
2021-10-25 10:45:00,128.16,128.22,128.01,128.12,161455
2021-10-25 10:30:00,127.99,128.24,127.94,128.14,181376
2021-10-25 10:15:00,128.5523,128.65,127.79,127.98,338891
2021-10-25 10:00:00,127.36,128.55,127.29,128.545,336396
2021-10-25 09:45:00,127.53,128.2,126.94,127.36,554053
2021-10-25 09:30:00,128.05,128.05,127.59,127.59,9994
2021-10-25 09:15:00,128.0,128.15,128.0,128.08,4449
2021-10-25 09:00:00,128.15,128.15,128.1,128.13,1624
2021-10-25 08:45:00,128.05,128.14,127.9,128.0,1946
2021-10-25 08:30:00,128.07,128.1,128.04,128.1,3023
2021-10-25 08:15:00,128.1,128.19,127.88,128.0,4071
2021-10-25 08:00:00,127.94,127.97,127.93,127.97,2810
2021-10-25 07:30:00,128.01,128.01,127.85,127.85,962
2021-10-25 07:15:00,128.1,128.1,128.01,128.01,1568
2021-10-25 07:00:00,128.03,128.03,128.01,128.01,1000
2021-10-25 06:45:00,128.1,128.1,128.1,128.1,577
2021-10-25 06:30:00,128.07,128.07,128.07,128.07,200
2021-10-25 05:30:00,128.04,128.04,128.04,128.04,320
2021-10-25 04:45:00,128.3,128.3,128.3,128.3,813
2021-10-22 20:00:00,127.76,127.85,127.76,127.85,4109
2021-10-22 19:45:00,127.8,127.8,127.8,127.8,694
2021-10-22 19:30:00,127.8,127.8,127.75,127.75,1255
2021-10-22 19:15:00,127.75,127.75,127.75,127.75,215
2021-10-22 19:00:00,127.79,127.8,127.75,127.75,834
2021-10-22 18:45:00,127.79,127.88,127.7801,127.88,3251
2021-10-22 18:30:00,127.8,127.8,127.75,127.8,1708
2021-10-22 18:15:00,127.8,127.8,127.8,127.8,463
2021-10-22 17:45:00,127.82,127.88,127.71,127.88,1559
2021-10-22 17:30:00,127.8,127.85,127.8,127.85,1959
2021-10-22 17:15:00,127.75,127.88,127.75,127.88,2364
2021-10-22 17:00:00,127.69,127.69,127.68,127.68,586
2021-10-22 16:45:00,127.76,127.76,127.67,127.68,7017
2021-10-22 16:30:00,127.86,127.88,127.85,127.85,12742
2021-10-22 16:15:00,127.88,127.9,127.8,127.86,117106
2021-10-22 16:00:00,127.45,127.92,127.39,127.91,777026
2021-10-22 15:45:00,127.52,127.7,127.4,127.48,378377
2021-10-22 15:30:00,127.7,127.74,127.44,127.52,268651
2021-10-22 15:15:00,128.135,128.21,127.55,127.7,315192
2021-10-22 15:00:00,128.45,128.62,128.12,128.12,345437
2021-10-22 14:45:00,127.65,128.49,127.62,128.45,391439
2021-10-22 14:30:00,127.4063,127.65,127.35,127.64,159675
2021-10-22 14:15:00,127.16,127.41,127.08,127.41,163716
2021-10-22 14:00:00,127.33,127.3785,127.11,127.15,195474
2021-10-22 13:45:00,127.03,127.49,126.93,127.336,228529
2021-10-22 13:30:00,126.9001,127.23,126.895,127.03,213108
2021-10-22 13:15:00,126.74,127.05,126.611,126.92,307868
2021-10-22 13:00:00,127.075,127.15,126.71,126.74,261987
2021-10-22 12:45:00,127.165,127.25,126.75,127.06,473145
2021-10-22 12:30:00,127.825,127.825,127.1,127.1899,437749
2021-10-22 12:15:00,127.78,128.08,127.72,127.83,222179
2021-10-22 12:00:00,127.6889,127.89,127.64,127.78,229596
2021-10-22 11:45:00,127.58,127.795,127.44,127.695,393546
2021-10-22 11:30:00,127.65,127.93,127.55,127.59,348371
2021-10-22 11:15:00,127.65,127.9,127.53,127.67,569053
2021-10-22 11:00:00,128.595,128.66,127.63,127.66,450901
2021-10-22 10:45:00,129.33,129.33,128.48,128.59,456465
2021-10-22 10:30:00,129.9101,129.98,128.87,129.33,551294
2021-10-22 10:15:00,129.67,130.25,129.12,129.91,570909
2021-10-22 10:00:00,128.77,129.9,128.48,129.69,741468
2021-10-22 09:45:00,128.05,129.3642,127.4001,128.7838,1275979
2021-10-22 09:30:00,128.5,128.59,128.0,128.0,23038
2021-10-22 09:15:00,128.5,128.59,128.2617,128.5001,13210
2021-10-22 09:00:00,128.4899,128.58,128.33,128.33,11450
2021-10-22 08:45:00,128.85,128.85,128.37,128.41,17108
2021-10-22 08:30:00,128.75,128.9,128.65,128.9,2840
2021-10-22 08:15:00,128.9948,129.0,128.63,128.74,18145
2021-10-22 08:00:00,128.7,128.85,128.7,128.7,1927
2021-10-22 07:45:00,128.72,128.72,128.6,128.7,2187
2021-10-22 07:30:00,128.78,128.85,128.7,128.7,3547
2021-10-22 07:15:00,128.9,128.9,128.7,128.86,7503
2021-10-22 07:00:00,128.9,128.9,128.55,128.7,5612
2021-10-22 06:45:00,128.93,128.95,128.85,128.9,1347
2021-10-22 06:30:00,129.11,129.11,128.9,128.9,1222
2021-10-22 06:15:00,128.89,128.9,128.89,128.9,570
2021-10-22 05:45:00,128.9,128.9,128.9,128.9,155
2021-10-22 05:30:00,128.94,128.94,128.89,128.9,1386
2021-10-22 05:15:00,128.71,128.94,128.71,128.94,1161
2021-10-22 04:30:00,129.12,129.15,128.86,128.86,782
2021-10-22 04:15:00,128.8,128.8,128.69,128.7,821
2021-10-21 20:00:00,128.84,128.85,128.7,128.84,5470
2021-10-21 19:45:00,128.6,128.84,128.6,128.84,8149
2021-10-21 19:30:00,128.7,128.78,128.55,128.55,845
