areaCode,areaName,areaType,date,newLFDTests
E12000002,North West,region,2021-09-21,55995
E12000002,North West,region,2021-09-20,83405
E12000002,North West,region,2021-09-19,86304
E12000002,North West,region,2021-09-18,41115
E12000002,North West,region,2021-09-17,58422
E12000002,North West,region,2021-09-16,71498
E12000002,North West,region,2021-09-15,80521
E12000002,North West,region,2021-09-14,59551
E12000002,North West,region,2021-09-13,97514
E12000002,North West,region,2021-09-12,85161
E12000002,North West,region,2021-09-11,46241
E12000002,North West,region,2021-09-10,98472
E12000002,North West,region,2021-09-09,105585
E12000002,North West,region,2021-09-08,106971
E12000002,North West,region,2021-09-07,117469
E12000002,North West,region,2021-09-06,155659
E12000002,North West,region,2021-09-05,74438
E12000002,North West,region,2021-09-04,43285
E12000002,North West,region,2021-09-03,113422
E12000002,North West,region,2021-09-02,103462
E12000002,North West,region,2021-09-01,84598
E12000002,North West,region,2021-08-31,76166
E12000002,North West,region,2021-08-30,52287
E12000002,North West,region,2021-08-29,47041
E12000002,North West,region,2021-08-28,48072
E12000002,North West,region,2021-08-27,62846
E12000002,North West,region,2021-08-26,65379
E12000002,North West,region,2021-08-25,61690
E12000002,North West,region,2021-08-24,47860
E12000002,North West,region,2021-08-23,58432
E12000002,North West,region,2021-08-22,43431
E12000002,North West,region,2021-08-21,32371
E12000002,North West,region,2021-08-20,44965
E12000002,North West,region,2021-08-19,51420
E12000002,North West,region,2021-08-18,50819
E12000002,North West,region,2021-08-17,43895
E12000002,North West,region,2021-08-16,58582
E12000002,North West,region,2021-08-15,45463
E12000002,North West,region,2021-08-14,36887
E12000002,North West,region,2021-08-13,50411
E12000002,North West,region,2021-08-12,53247
E12000002,North West,region,2021-08-11,53480
E12000002,North West,region,2021-08-10,46001
E12000002,North West,region,2021-08-09,61938
E12000002,North West,region,2021-08-08,48144
E12000002,North West,region,2021-08-07,35009
E12000002,North West,region,2021-08-06,49786
E12000002,North West,region,2021-08-05,55247
E12000002,North West,region,2021-08-04,53762
E12000002,North West,region,2021-08-03,46981
E12000002,North West,region,2021-08-02,63627
E12000002,North West,region,2021-08-01,49931
E12000002,North West,region,2021-07-31,37234
E12000002,North West,region,2021-07-30,53388
E12000002,North West,region,2021-07-29,59211
E12000002,North West,region,2021-07-28,59689
E12000002,North West,region,2021-07-27,52333
E12000002,North West,region,2021-07-26,70408
E12000002,North West,region,2021-07-25,57567
E12000002,North West,region,2021-07-24,41076
E12000002,North West,region,2021-07-23,59389
E12000002,North West,region,2021-07-22,70386
E12000002,North West,region,2021-07-21,69323
E12000002,North West,region,2021-07-20,57406
E12000002,North West,region,2021-07-19,86269
E12000002,North West,region,2021-07-18,78556
E12000002,North West,region,2021-07-17,42160
E12000002,North West,region,2021-07-16,64860
E12000002,North West,region,2021-07-15,87731
E12000002,North West,region,2021-07-14,96899
E12000002,North West,region,2021-07-13,70087
E12000002,North West,region,2021-07-12,101453
E12000002,North West,region,2021-07-11,93790
E12000002,North West,region,2021-07-10,42829
E12000002,North West,region,2021-07-09,64222
E12000002,North West,region,2021-07-08,91366
E12000002,North West,region,2021-07-07,103073
E12000002,North West,region,2021-07-06,73094
E12000002,North West,region,2021-07-05,112364
E12000002,North West,region,2021-07-04,113465
E12000002,North West,region,2021-07-03,41977
E12000002,North West,region,2021-07-02,66761
E12000002,North West,region,2021-07-01,99497
E12000002,North West,region,2021-06-30,111154
E12000002,North West,region,2021-06-29,74044
E12000002,North West,region,2021-06-28,116004
E12000002,North West,region,2021-06-27,118187
E12000002,North West,region,2021-06-26,38330
E12000002,North West,region,2021-06-25,65178
E12000002,North West,region,2021-06-24,98197
E12000002,North West,region,2021-06-23,114054
E12000002,North West,region,2021-06-22,69257
E12000002,North West,region,2021-06-21,110028
E12000002,North West,region,2021-06-20,120231
E12000002,North West,region,2021-06-19,37211
E12000002,North West,region,2021-06-18,61607
E12000002,North West,region,2021-06-17,93472
E12000002,North West,region,2021-06-16,109251
E12000002,North West,region,2021-06-15,66197
E12000002,North West,region,2021-06-14,107632
E12000002,North West,region,2021-06-13,114687
E12000002,North West,region,2021-06-12,35047
E12000002,North West,region,2021-06-11,58678
E12000002,North West,region,2021-06-10,85611
E12000002,North West,region,2021-06-09,102928
E12000002,North West,region,2021-06-08,58159
E12000002,North West,region,2021-06-07,96668
E12000002,North West,region,2021-06-06,128543
E12000002,North West,region,2021-06-05,30671
E12000002,North West,region,2021-06-04,48663
E12000002,North West,region,2021-06-03,65658
E12000002,North West,region,2021-06-02,68923
E12000002,North West,region,2021-06-01,60820
E12000002,North West,region,2021-05-31,57028
E12000002,North West,region,2021-05-30,51381
E12000002,North West,region,2021-05-29,28911
E12000002,North West,region,2021-05-28,49837
E12000002,North West,region,2021-05-27,77839
E12000002,North West,region,2021-05-26,99504
E12000002,North West,region,2021-05-25,57745
E12000002,North West,region,2021-05-24,96549
E12000002,North West,region,2021-05-23,117255
E12000002,North West,region,2021-05-22,30730
E12000002,North West,region,2021-05-21,51299
E12000002,North West,region,2021-05-20,85559
E12000002,North West,region,2021-05-19,105280
E12000002,North West,region,2021-05-18,57537
E12000002,North West,region,2021-05-17,101722
E12000002,North West,region,2021-05-16,118101
E12000002,North West,region,2021-05-15,26520
E12000002,North West,region,2021-05-14,48620
E12000002,North West,region,2021-05-13,84189
E12000002,North West,region,2021-05-12,105855
E12000002,North West,region,2021-05-11,53419
E12000002,North West,region,2021-05-10,99400
E12000002,North West,region,2021-05-09,134489
E12000002,North West,region,2021-05-08,26822
E12000002,North West,region,2021-05-07,52152
E12000002,North West,region,2021-05-06,88369
E12000002,North West,region,2021-05-05,109511
E12000002,North West,region,2021-05-04,84593
E12000002,North West,region,2021-05-03,116351
E12000002,North West,region,2021-05-02,77958
E12000002,North West,region,2021-05-01,32577
E12000002,North West,region,2021-04-30,51462
E12000002,North West,region,2021-04-29,94387
E12000002,North West,region,2021-04-28,123036
E12000002,North West,region,2021-04-27,58138
E12000002,North West,region,2021-04-26,108052
E12000002,North West,region,2021-04-25,148468
E12000002,North West,region,2021-04-24,27290
E12000002,North West,region,2021-04-23,49537
E12000002,North West,region,2021-04-22,95657
E12000002,North West,region,2021-04-21,127753
E12000002,North West,region,2021-04-20,57323
E12000002,North West,region,2021-04-19,108466
E12000002,North West,region,2021-04-18,178457
E12000002,North West,region,2021-04-17,26175
E12000002,North West,region,2021-04-16,48600
E12000002,North West,region,2021-04-15,86959
E12000002,North West,region,2021-04-14,106391
E12000002,North West,region,2021-04-13,53632
E12000002,North West,region,2021-04-12,94078
E12000002,North West,region,2021-04-11,133801
E12000002,North West,region,2021-04-10,25825
E12000002,North West,region,2021-04-09,45613
E12000002,North West,region,2021-04-08,76433
E12000002,North West,region,2021-04-07,89351
E12000002,North West,region,2021-04-06,60052
E12000002,North West,region,2021-04-05,73170
E12000002,North West,region,2021-04-04,80397
E12000002,North West,region,2021-04-03,22468
E12000002,North West,region,2021-04-02,31171
E12000002,North West,region,2021-04-01,79677
E12000002,North West,region,2021-03-31,118201
E12000002,North West,region,2021-03-30,36981
E12000002,North West,region,2021-03-29,39440
E12000002,North West,region,2021-03-28,239884
E12000002,North West,region,2021-03-27,22721
E12000002,North West,region,2021-03-26,53184
E12000002,North West,region,2021-03-25,114586
E12000002,North West,region,2021-03-24,184697
E12000002,North West,region,2021-03-23,69948
E12000002,North West,region,2021-03-22,130190
E12000002,North West,region,2021-03-21,216072
E12000002,North West,region,2021-03-20,23113
E12000002,North West,region,2021-03-19,83123
E12000002,North West,region,2021-03-18,147307
